Serial No.,Flight Company,Flight ID,City Pair,Airports Pair,IATA Code Pair,Date,Class,Price (INR),Departure Time,Arrival Time
852,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-04-17,First,12647,14:45,17:45
853,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-04-05,Economy,4194,02:15,05:15
854,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-04-05,Business,7339,02:15,05:15
855,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-04-05,First,10485,02:15,05:15
856,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-02-11,Economy,7867,09:30,12:30
857,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-02-11,Business,13767,09:30,12:30
858,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-02-11,First,19667,09:30,12:30
859,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-11-28,Economy,4026,23:45,00:45
860,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-11-28,Business,7045,23:45,00:45
861,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-11-28,First,10065,23:45,00:45
862,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-11-04,Economy,3208,14:45,16:45
863,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-11-04,Business,5614,14:45,16:45
864,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-11-04,First,8020,14:45,16:45
865,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-06,Economy,4674,20:15,23:15
866,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-06,Business,8179,20:15,23:15
867,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-06,First,11685,20:15,23:15
868,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-04,Economy,7436,08:00,12:00
869,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-04,Business,13013,08:00,12:00
870,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-04,First,18590,08:00,12:00
871,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-06-08,Economy,5105,22:45,23:45
872,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-06-08,Business,8933,22:45,23:45
873,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-06-08,First,12762,22:45,23:45
874,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-04-13,Economy,7743,10:15,11:15
875,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-04-13,Business,13550,10:15,11:15
876,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-04-13,First,19357,10:15,11:15
877,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-09-08,Economy,5039,07:45,11:45
878,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-09-08,Business,8818,07:45,11:45
879,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-09-08,First,12597,07:45,11:45
880,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-21,Economy,3110,17:30,19:30
881,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-21,Business,5442,17:30,19:30
882,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-01-21,First,7775,17:30,19:30
883,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-08-04,Economy,4386,23:00,01:00
884,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-08-04,Business,7675,23:00,01:00
885,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-08-04,First,10965,23:00,01:00
886,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-02-17,Economy,6351,14:15,17:15
887,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-02-17,Business,11114,14:15,17:15
888,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-02-17,First,15877,14:15,17:15
889,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-06-17,Economy,7712,02:45,04:45
890,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-06-17,Business,13496,02:45,04:45
891,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-06-17,First,19280,02:45,04:45
892,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-07-11,Economy,6722,23:15,01:15
893,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-07-11,Business,11763,23:15,01:15
894,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2025-07-11,First,16805,23:15,01:15
895,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-05-11,Economy,3080,11:30,15:30
896,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-05-11,Business,5390,11:30,15:30
897,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-05-11,First,7700,11:30,15:30
898,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-05-18,Economy,4137,19:30,22:30
899,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-05-18,Business,7239,19:30,22:30
900,Air India,AI3683,Mumbai - Goa,Chhatrapati Shivaji International Airport - Dabolim Airport,BOM - GOI,2026-05-18,First,10342,19:30,22:30
901,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-23,Economy,6063,10:30,13:30
902,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-23,Business,10610,10:30,13:30
903,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-23,First,15157,10:30,13:30
904,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-03-29,Economy,3553,15:00,16:00
905,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-03-29,Business,6217,15:00,16:00
906,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-03-29,First,8882,15:00,16:00
907,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-05-29,Economy,5784,16:15,18:15
908,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-05-29,Business,10122,16:15,18:15
909,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-05-29,First,14460,16:15,18:15
910,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-04-20,Economy,6409,17:30,18:30
911,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-04-20,Business,11215,17:30,18:30
912,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-04-20,First,16022,17:30,18:30
913,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-06-20,Economy,4074,05:45,06:45
914,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-06-20,Business,7129,05:45,06:45
915,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-06-20,First,10185,05:45,06:45
916,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-11-22,Economy,4297,08:45,10:45
917,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-11-22,Business,7519,08:45,10:45
918,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-11-22,First,10742,08:45,10:45
919,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-15,Economy,7645,10:00,14:00
920,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-15,Business,13378,10:00,14:00
921,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-15,First,19112,10:00,14:00
922,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-12-14,Economy,3611,20:00,21:00
923,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-12-14,Business,6319,20:00,21:00
924,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-12-14,First,9027,20:00,21:00
925,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-23,Economy,6641,18:30,20:30
926,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-23,Business,11621,18:30,20:30
927,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-23,First,16602,18:30,20:30
928,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-09-14,Economy,3808,19:45,21:45
929,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-09-14,Business,6664,19:45,21:45
930,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-09-14,First,9520,19:45,21:45
931,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-09-03,Economy,6390,20:15,21:15
932,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-09-03,Business,11182,20:15,21:15
933,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-09-03,First,15975,20:15,21:15
934,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-28,Economy,6680,15:15,18:15
935,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-28,Business,11690,15:15,18:15
936,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-28,First,16700,15:15,18:15
937,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-24,Economy,5300,05:30,09:30
938,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-24,Business,9275,05:30,09:30
939,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-07-24,First,13250,05:30,09:30
940,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-08-02,Economy,4210,17:30,19:30
941,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-08-02,Business,7367,17:30,19:30
942,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-08-02,First,10525,17:30,19:30
943,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-10,Economy,6172,23:15,00:15
944,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-10,Business,10801,23:15,00:15
945,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-01-10,First,15430,23:15,00:15
946,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-03-21,Economy,4074,09:00,12:00
947,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-03-21,Business,7129,09:00,12:00
948,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-03-21,First,10185,09:00,12:00
949,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-06-22,Economy,7292,19:45,20:45
950,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-06-22,Business,12761,19:45,20:45
951,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-06-22,First,18230,19:45,20:45
952,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-10-13,Economy,4164,09:15,12:15
953,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-10-13,Business,7287,09:15,12:15
954,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-10-13,First,10410,09:15,12:15
955,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-08-07,Economy,3738,12:15,14:15
956,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-08-07,Business,6541,12:15,14:15
957,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2025-08-07,First,9345,12:15,14:15
958,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-02-06,Economy,3088,03:45,06:45
959,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-02-06,Business,5404,03:45,06:45
960,Air India,AI4403,Hyderabad - Bengaluru,Rajiv Gandhi International Airport - Kempegowda International Airport,HYD - BLR,2026-02-06,First,7720,03:45,06:45
961,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-06-19,Economy,3998,20:45,22:45
962,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-06-19,Business,6996,20:45,22:45
963,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-06-19,First,9995,20:45,22:45
964,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-03-16,Economy,4653,06:00,10:00
965,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-03-16,Business,8142,06:00,10:00
966,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-03-16,First,11632,06:00,10:00
967,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-04-27,Economy,7011,21:00,01:00
968,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-04-27,Business,12269,21:00,01:00
969,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-04-27,First,17527,21:00,01:00
970,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-01-30,Economy,5265,16:45,17:45
971,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-01-30,Business,9213,16:45,17:45
972,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-01-30,First,13162,16:45,17:45
973,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-23,Economy,3398,06:15,09:15
974,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-23,Business,5946,06:15,09:15
975,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-23,First,8495,06:15,09:15
976,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-11-29,Economy,5673,04:30,08:30
977,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-11-29,Business,9927,04:30,08:30
978,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-11-29,First,14182,04:30,08:30
979,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-10-24,Economy,7315,07:15,11:15
980,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-10-24,Business,12801,07:15,11:15
981,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-10-24,First,18287,07:15,11:15
982,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-03-14,Economy,4701,03:00,04:00
983,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-03-14,Business,8226,03:00,04:00
984,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-03-14,First,11752,03:00,04:00
985,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-11-23,Economy,5666,20:15,23:15
986,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-11-23,Business,9915,20:15,23:15
987,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-11-23,First,14165,20:15,23:15
988,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-07-02,Economy,5418,02:00,03:00
989,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-07-02,Business,9481,02:00,03:00
990,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-07-02,First,13545,02:00,03:00
991,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-03,Economy,4939,16:00,17:00
992,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-03,Business,8643,16:00,17:00
993,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-03,First,12347,16:00,17:00
994,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-04-20,Economy,7696,06:30,09:30
995,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-04-20,Business,13468,06:30,09:30
996,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-04-20,First,19240,06:30,09:30
997,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-08-12,Economy,3698,21:15,23:15
998,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-08-12,Business,6471,21:15,23:15
999,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-08-12,First,9245,21:15,23:15
1000,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-02-15,Economy,5917,16:00,18:00
1001,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-02-15,Business,10354,16:00,18:00
1002,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-02-15,First,14792,16:00,18:00
1003,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-05-05,Economy,3506,00:30,04:30
1004,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-05-05,Business,6135,00:30,04:30
1005,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2026-05-05,First,8765,00:30,04:30
1006,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-18,Economy,4262,04:00,07:00
1007,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-18,Business,7458,04:00,07:00
1008,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-09-18,First,10655,04:00,07:00
1009,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-07-13,Economy,3662,01:00,05:00
1010,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-07-13,Business,6408,01:00,05:00
1011,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-07-13,First,9155,01:00,05:00
1012,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-12-09,Economy,7574,02:00,06:00
1013,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-12-09,Business,13254,02:00,06:00
1014,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-12-09,First,18935,02:00,06:00
1015,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-06-08,Economy,7336,04:00,08:00
1016,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-06-08,Business,12838,04:00,08:00
1017,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-06-08,First,18340,04:00,08:00
1018,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-08-25,Economy,7223,19:45,22:45
1019,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-08-25,Business,12640,19:45,22:45
1020,Air India,AI6859,Ahmedabad - Pune,Sardar Vallabhbhai Patel International Airport - Pune Airport,AMD - PNQ,2025-08-25,First,18057,19:45,22:45
1021,Air India,AI9159,Jaipur - Ahmedabad,Jaipur International Airport - Sardar Vallabhbhai Patel International Airport,JAI - AMD,2026-01-18,Economy,3725,10:00,11:00
1022,Air India,AI9159,Jaipur - Ahmedabad,Jaipur International Airport - Sardar Vallabhbhai Patel International Airport,JAI - AMD,2026-01-18,Business,6518,10:00,11:00
1023,Air India,AI9159,Jaipur - Ahmedabad,Jaipur International Airport - Sardar Vallabhbhai Patel International Airport,JAI - AMD,2026-01-18,First,9312,10:00,11:00
1024,Air India,AI9159,Jaipur - Ahmedabad,Jaipur International Airport - Sardar Vallabhbhai Patel International Airport,JAI - AMD,2025-11-28,Economy,4898,03:45,07:45
1025,Air India,AI9159,Jaipur - Ahmedabad,Jaipur International Airport - Sardar Vallabhbhai Patel International Airport,JAI - AMD,2025-11-28,Business,8571,03:45,07:45
1026,Air India,AI9159,Jaipur - Ahmedabad,Jaipur International Airport - Sardar Vallabhbhai Patel International Airport,JAI - AMD,2025-11-28,First,12245,03:45,07:45
